"";"classe 1";"classe 2";"classe 3";"classe 4"
"élection";1,483;0,113;-2,675;0
"utilisation";-3,637;-3,968;25,763;-0,88
"télégramme";-3,637;-3,968;-2,974;34,995
"total";-3,272;-3,569;22,413;-0,656
"supérieur";0,931;-3,968;4,216;-0,88
"soudure";-3,272;-1,316;-0,002;10,259
"session";15,297;-3,171;-2,376;-0,447
"secrétaire";0,061;-1,659;-2,974;8,234
"salaire";-1,107;-3,569;22,413;-2,599
"réalité";-1,107;16,372;-2,675;-2,599
"ratification";25,008;-3,569;-2,675;-2,599
"puissance";7,458;0,113;-2,675;-2,599
"prélèvement";-1,414;-3,968;25,763;-2,89
"productivité";-3,637;-3,968;34,004;-2,89
"priorité";-3,637;0,679;7,89;-2,89
"principal";-3,637;8,622;-0,046;-0,88
"portée";0,061;-0,341;-2,974;4,443
"parlementaire";5,764;-0,341;-0,939;-0,88
"pacifique";-1,414;18,874;-2,974;-2,89
"naturellement";-3,637;2,336;-2,974;4,443
"manquer";0,931;-1,659;-0,939;1,813
"limité";0,931;-1,659;4,216;-2,89
"limiter";2,832;-1,659;1,684;-2,89
"jouer";0,061;2,336;-0,939;-0,88
"italie";2,832;0,679;-0,939;-2,89
"financer";-3,637;-3,968;34,004;-2,89
"expression";-0,222;-0,341;-0,046;1,813
"expansion";-3,637;0,014;12,706;-2,89
"essentiellement";0,061;8,622;-2,974;-2,89
"entraîner";-1,414;0,679;4,216;-2,89
"eden";-1,414;-1,659;-2,974;19,295
"désir";-0,222;0,679;-2,974;1,813
"dominer";-3,272;22,926;-2,675;-2,599
"direction";-1,107;10,918;-2,675;-0,656
"couvrir";-0,222;-1,659;4,216;-0,031
"consulter";-0,222;-3,968;-0,939;13,184
"consultation";0,931;-3,968;7,89;-2,89
"consacrer";-1,414;4,983;-0,046;-0,88
"concret";-3,637;18,874;-0,939;-2,89
"concours";-1,414;-3,968;1,684;4,443
"composer";20,746;-3,968;-2,974;-0,88
"comporter";-3,637;-1,659;18,664;-0,88
"communication";-1,414;-3,968;-2,974;26,565
"commercial";14,721;-3,968;-2,974;-0,031
"commerce";5,764;-1,659;-0,939;-0,031
"commencer";-1,414;13,253;-2,974;-0,88
"coke";0,931;-3,968;1,684;-0,031
"chose";-3,272;3,314;0,567;-0,656
"britannique";0,061;4,983;-2,974;-0,88
"bref";-1,414;2,336;1,684;-2,89
"balancer";-3,637;-0,341;18,664;-2,89
"autonome";-1,414;-0,341;12,706;-2,89
"attacher";-1,414;8,622;-0,939;-0,88
"assumer";-0,222;0,679;-0,046;-0,031
"appui";-0,222;0,014;-0,046;0,342
"achèvement";2,832;-3,968;-0,046;0,342
"accroître";-0,222;-3,968;18,664;-2,89
"accroissement";-3,637;-3,968;34,004;-2,89
"évolution";0,213;1,163;-2,675;0
"étape";-1,107;3,314;0,567;-2,599
"épargner";-3,272;-3,569;30,586;-2,599
"élimination";-3,272;1,163;5,502;-2,599
"vigueur";18,013;-3,569;-2,675;-0,656
"utilisateur";0,213;-3,569;9,871;-2,599
"universel";-0,087;3,314;-0,002;-2,599
"uni";-0,087;6,566;-2,675;-0,656
"sûr";-1,107;-3,569;0,567;5,762
"saisir";-1,107;-3,569;0,567;5,762
"réadaptation";-2,907;-3,171;27,173;-2,309
"russe";-3,272;22,926;-2,675;-2,599
"robert";-3,272;-3,569;-2,675;31,478
"rené";7,34;-1,978;-1,483;-0,016
"rapporter";-3,272;-3,569;-2,675;31,478
"produire";-3,272;0,113;5,502;-0,656
"procédé";-3,272;-0,164;15,508;-2,599
"positif";-3,272;22,926;-2,675;-2,599
"nommer";25,008;-3,569;-2,675;-2,599
"nombreux";-1,107;-1,316;5,502;0
"mondial";-2,542;6,445;0,132;-2,019
"mandat";7,458;-1,316;-2,675;0
"liberté";-1,107;16,372;-2,675;-2,599
"intérieur";-0,087;-1,316;9,871;-2,599
"intervention";-0,087;-3,569;5,502;0
"incident";-3,272;-3,569;-2,675;31,478
"heureux";-3,272;-1,316;-2,675;23,117
"faveur";-1,107;3,314;-0,002;-0,656
"entreprendre";-3,272;3,314;0,567;-0,656
"efficace";-1,107;16,372;-2,675;-2,599
"douanier";1,483;-1,316;2,401;-2,599
"contenir";0,213;1,163;-0,704;-0,656
"constamment";-3,272;16,372;-0,704;-2,599
"conduire";-2,907;4,635;0,983;-2,309
"compromis";7,458;0,113;-2,675;-2,599
"compromettre";-1,107;1,163;0,567;-0,656
"commissaire";-2,907;-3,171;7,182;1,068
"clairement";-1,107;16,372;-2,675;-2,599
"chiffre";-3,272;3,314;0,567;-0,656
"changement";-0,087;10,918;-2,675;-2,599
"chambre";2,263;-0,988;-2,376;1,068
"blé";-2,542;0;-0,291;4,914
"avance";-0,087;-0,164;0,567;0
"augmentation";-2,907;-3,171;27,173;-2,309
"assister";-3,272;-3,569;-2,675;31,478
"août";3,898;-3,569;-2,675;2,553
"adresse";-1,107;-0,164;-2,675;10,259
"adopter";0,213;0,113;-0,704;0
"accomplir";-3,272;16,372;-0,704;-2,599
"accompagner";-3,272;-0,164;0,567;2,553
"événement";-0,815;8,641;-0,486;-2,309
"élaborer";2,263;0,336;-2,376;-0,447
"viser";2,263;-0,988;0,983;-2,309
"vertu";19,429;-2,773;-2,078;-2,019
"urgent";-2,907;1,866;0,022;0,033
"ultérieur";5,32;-0,043;-0,486;-2,309
"tirer";-0,815;0,336;3,369;-2,309
"tentation";-2,907;4,635;0,983;-2,309
"syndical";3,369;-0,68;-2,078;0,158
"surmonter";-2,907;8,641;-0,486;-0,447
"suffisant";-0,815;1,866;0,983;-2,309
"soviétique";-0,815;13,885;-2,376;-2,309
"souligner";-0,01;1,866;-0,486;-0,447
"sortir";-0,01;8,641;-2,376;-2,309
"siège";9,665;-0,043;-2,376;-2,309
"simple";0,493;0,336;-0,486;-0,447
"septembre";0,493;-0,988;-2,376;3,551
"satisfaisant";-0,01;4,635;-2,376;-0,447
"sage";-2,542;-2,773;4,699;1,709
"république";9,665;-0,043;-2,376;-2,309
"renforcer";-0,01;4,635;-0,486;-2,309
"remercier";-2,907;-3,171;-0,486;19,689
"reconstitution";-2,907;20,367;-2,376;-2,309
"prononcer";0,493;0,336;-2,376;0,033
"procéder";9,665;-3,171;-2,376;0,033
"privé";0,015;-2,773;4,699;-0,262
"pleinement";-0,815;0,336;-0,486;1,068
"orienter";-0,01;0,336;0,983;-2,309
"opposer";-0,815;1,866;0,983;-2,309
"offrir";-2,542;-0,68;4,699;0,158
"obligation";9,665;-0,988;-2,376;-0,447
"mécanique";-2,907;-0,988;19,083;-2,309
"montant";-2,907;-3,171;27,173;-2,309
"minerai";15,297;-3,171;-0,486;-2,309
"mardi";-2,907;-0,988;-2,376;19,689
"livraison";-0,815;-0,043;7,182;-2,309
"limitation";-0,01;1,866;0,022;-2,309
"lier";0,493;1,866;-0,486;-2,309
"indépendamment";-0,815;13,885;-2,376;-2,309
"hollandais";0,957;-0,68;-0,291;0,158
"harriman";2,263;-3,171;0,022;0,033
"favorable";-0,815;-0,043;3,369;-0,447
"existant";-0,01;-0,043;3,369;-2,309
"espoir";-2,907;20,367;-2,376;-2,309
"entièrement";2,263;-3,171;3,369;-2,309
"effectuer";2,263;-0,988;0,022;-0,447
"détail";-0,815;-3,171;0,022;7,482
"département";0,493;-3,171;-2,376;7,482
"décisif";0,493;0,336;0,022;-2,309
"dynamique";-2,907;20,367;-2,376;-2,309
"donnée";-2,542;0,735;-0,291;1,709
"dollar";-2,907;-3,171;12,42;0,033
"demeurer";-0,01;1,866;-2,376;0,033
"côté";-2,907;1,866;3,369;-2,309
"coup";-2,907;-0,043;3,369;0,033
"cordialement";-2,907;-3,171;-2,376;27,965
"coordination";-0,543;0;1,601;-0,262
"constater";-2,907;1,866;0,983;-0,447
"consentir";-0,01;1,866;0,022;-2,309
"conforme";15,297;-3,171;-0,486;-2,309
"commissariat";-2,907;-3,171;19,083;-0,447
"clef";-2,542;-2,773;23,763;-2,019
"choix";5,32;0,336;-2,376;-2,309
"cesser";-0,815;-0,988;0,983;1,068
"capital";-2,907;-3,171;19,083;-0,447
"capacité";-0,815;-3,171;12,42;-0,447
"bonnet";-2,907;-3,171;-2,376;27,965
"attribuer";2,263;-0,988;-0,486;0,033
"armement";-2,907;13,885;-0,486;-2,309
"approbation";0,493;-3,171;0,983;0,033
"annuel";-2,907;4,635;0,983;-2,309
"étudier";-2,542;0;4,699;-0,262
"élire";19,429;-2,773;-2,078;-2,019
"électricité";-2,542;-2,773;23,763;-2,019
"échec";4,964;0,075;-1,78;-1,73
"écarter";0,957;-0,68;-2,078;1,709
"york";-0,543;0,735;-2,078;1,709
"wehrer";-2,542;-2,773;-2,078;24,456
"vivement";0,015;0,735;-2,078;0,158
"trésorerie";-2,178;-2,375;-0,13;12,925
"trésor";-0,302;-2,375;12,514;-1,73
"transmettre";-0,543;-0,68;-2,078;9,774
"tcc";-2,542;0;0,132;1,709
"sérieux";0,957;0;-0,291;-0,262
"série";0,957;0;-0,291;-0,262
"suffire";-2,542;-2,773;9,425;0,158
"substituer";-0,543;0,735;1,601;-2,019
"stade";0,015;0;1,601;-2,019
"sorte";-0,543;-0,68;4,699;-0,262
"réviser";0,957;-0,68;-2,078;1,709
"réforme";4,964;0,075;-1,78;-1,73
"réduire";0,957;-2,773;1,601;-0,262
"retrouver";-2,542;6,445;0,132;-2,019
"reprise";-0,543;0;-0,291;1,709
"reprendre";-0,543;-2,773;-2,078;16,288
"recueillir";-0,543;-0,68;9,425;-2,019
"pénurie";-2,542;-2,773;23,763;-2,019
"purement";0,141;-0,401;0,377;-0,111
"présidence";-0,543;-2,773;-2,078;16,288
"protection";-2,542;-2,773;23,763;-2,019
"proposé";0,015;-2,773;4,699;-0,262
"professionnel";3,369;-2,773;0,132;-0,262
"presse";-0,543;0;0,132;0,158
"pratiquement";-2,542;-2,773;15,78;-0,262
"oece";4,964;-0,401;-1,78;-0,111
"new";-0,543;0,735;-2,078;1,709
"monopole";3,369;-0,68;0,132;-2,019
"minute";-2,542;0;-2,078;9,774
"milieu";0,957;-0,68;-0,291;0,158
"mentionner";0,015;-0,68;-2,078;4,914
"lien";-0,543;6,445;-2,078;-0,262
"inspirer";-0,543;0;-0,291;1,709
"indépendance";0,957;-2,773;4,699;-2,019
"incompatible";0,957;0;0,132;-2,019
"ii";0,957;-2,773;-2,078;4,914
"garantir";3,369;-2,773;1,601;-2,019
"février";-0,543;-2,773;-0,291;9,774
"formuler";0,015;-0,68;-0,291;1,709
"fonctionnaire";-2,542;-2,773;-2,078;24,456
"extérieur";-2,542;-2,773;23,763;-2,019
"extension";0,141;-2,375;6,57;-1,73
"exploitation";-2,542;-2,773;23,763;-2,019
"emploi";-2,178;-2,375;20,357;-1,73
"déficit";-1,814;-1,978;16,954;-1,441
"débouché";-2,542;-0,68;15,78;-2,019
"diriger";0,015;2,883;-2,078;-0,262
"directeur";0,015;-2,773;-0,291;4,914
"différence";-2,542;-0,68;15,78;-2,019
"destinée";0,957;0;-0,291;-0,262
"correspondant";0,015;-0,68;4,699;-2,019
"contractuel";1,695;-2,375;-1,78;2,66
"contingent";-2,542;-2,773;23,763;-2,019
"consister";3,369;0,735;-2,078;-2,019
"considération";-0,543;-2,773;-0,291;9,774
"confiance";-0,543;2,883;-2,078;0,158
"compléter";0,015;0,735;-0,291;-0,262
"complètement";-0,543;6,445;-2,078;-0,262
"communiquer";-2,542;-2,773;-2,078;24,456
"commandement";-2,542;17,811;-2,078;-2,019
"collectif";7,252;0;-2,078;-2,019
"choisir";19,429;-2,773;-2,078;-2,019
"but";0,015;2,883;-2,078;-0,262
"avantage";-2,542;2,883;1,601;-2,019
"auprès_de";-0,543;-0,68;-2,078;9,774
"associer";12,605;-0,68;-2,078;-2,019
"arrangement";-0,543;2,883;-0,291;-0,262
"aron";-0,543;0;0,132;0,158
"appliquer";3,369;-2,773;0,132;-0,262
"admettre";0,957;-0,68;-2,078;1,709
"acquérir";-0,543;-2,773;4,699;0,158
"acheson";-0,543;0;-2,078;4,914
"acceptation";3,369;-0,68;-0,291;-0,262
"évidemment";-0,302;4,37;-0,13;-1,73
"éventuellement";-0,302;-0,401;-0,13;2,66
"user";-0,302;0,075;0,377;-0,111
"unification";-2,178;8,99;-0,13;-1,73
"ultérieurement";4,964;-2,375;-0,13;-0,111
"tendre";-0,302;1,398;0,377;-1,73
"susceptible";-2,178;4,37;0,377;-1,73
"surplus";-0,302;1,398;-0,13;-0,111
"subsister";1,695;-2,375;0,377;-0,111
"subordonné";9,947;-2,375;-1,78;-0,111
"stabilité";-2,178;1,398;2,524;-1,73
"société";0,141;1,398;-1,78;-0,111
"secteur";-0,302;-0,401;6,57;-1,73
"secrétariat";1,695;-2,375;-1,78;2,66
"scs";0,141;0,075;0,377;-1,73
"réellement";-2,178;1,398;-0,13;0,421
"retard";0,141;-2,375;6,57;-1,73
"restrictif";0,141;-2,375;6,57;-1,73
"représentation";1,695;0,075;-0,13;-1,73
"renoncer";0,141;4,37;-1,78;-1,73
"relever";0,141;-0,401;2,524;-1,73
"reconstituer";0,141;4,37;-1,78;-1,73
"quantité";-0,302;-2,375;6,57;-0,111
"publier";-0,302;-0,401;-1,78;6,828
"prévenir";-0,111;-0,17;-0,023;0,904
"précéder";-0,302;-0,401;0,377;0,421
"progressivement";4,964;-2,375;0,377;-1,73
"porte";-0,302;-2,375;2,524;0,421
"population";0,141;-2,375;6,57;-1,73
"phase";-0,302;0,075;2,524;-1,73
"persuader";-0,302;1,398;-0,13;-0,111
"perdre";-2,178;8,99;-0,13;-1,73
"partager";0,141;0,075;-1,78;0,421
"parer";1,695;0,075;-0,13;-1,73
"p";-1,814;-0,17;-1,483;9,62
"opposé";-0,302;4,37;-0,13;-1,73
"officiellement";-1,814;-0,17;-1,483;9,62
"naître";-0,302;4,37;-1,78;-0,111
"meilleur";-2,178;-2,375;6,57;0,421
"maximum";-2,178;-2,375;6,57;0,421
"majorité";4,964;0,075;-1,78;-1,73
"majeur";-0,302;4,37;-0,13;-1,73
"main";-2,178;-0,401;2,524;0,421
"lucien";-2,178;-2,375;-1,78;20,95
"lisbonne";4,964;-2,375;-0,13;-0,111
"liquidation";1,695;-2,375;2,524;-1,73
"largement";-2,178;-0,401;12,514;-1,73
"konzerns";-0,005;-1,582;6,196;-1,152
"juge";4,964;-0,401;-0,13;-1,73
"intermédiaire";1,695;-2,375;-0,13;0,421
"interdire";-0,111;-0,17;3,934;-1,441
"intention";0,141;-2,375;0,377;0,421
"instrument";-2,178;4,37;0,377;-1,73
"inquiétude";-2,178;4,37;-0,13;-0,111
"importateur";-2,178;-2,375;12,514;-0,111
"iii";-0,302;-0,401;-0,13;2,66
"i";1,695;0,075;-1,78;-0,111
"hubert";-2,178;-2,375;-1,78;20,95
"fusion";-0,302;0,075;2,524;-1,73
"fonctionner";-0,302;4,37;-1,78;-0,111
"favoriser";0,141;-0,401;2,524;-1,73
"exclure";1,695;-0,401;0,377;-1,73
"excessif";4,964;-2,375;0,377;-1,73
"exceptionnel";-0,302;-0,401;6,57;-1,73
"erhard";4,964;-2,375;-1,78;0,421
"entier";0,141;-2,375;-0,13;2,66
"efficacité";-0,302;8,99;-1,78;-1,73
"désignation";16,644;-2,375;-1,78;-1,73
"dépasser";-0,302;-2,375;12,514;-1,73
"définitivement";1,695;1,398;-1,78;-1,73
"domination";-0,302;8,99;-1,78;-1,73
"divergence";0,141;0,075;-0,13;-0,111
"dirigeant";-2,178;0,075;6,57;-1,73
"diminuer";-0,302;-0,401;6,57;-1,73
"dangereux";-2,178;15,258;-1,78;-1,73
"correspondre";-2,178;1,398;2,524;-1,73
"coopérer";-0,302;8,99;-1,78;-1,73
"convoquer";0,141;-2,375;-1,78;6,828
"consommateur";4,964;-0,401;-1,78;-0,111
"considérer";-0,302;0,075;-1,78;2,66
"congrès";-1,814;-0,17;-0,023;4,105
"concurrent";-0,302;-2,375;12,514;-1,73
"compter";-2,178;0,075;-1,78;6,828
"commencement";-0,302;4,37;-0,13;-1,73
"commander";-2,178;-2,375;12,514;-0,111
"chance";0,141;1,398;-0,13;-1,73
"bruxelles";-2,178;0,075;-0,13;2,66
"bruce";-2,178;-0,401;-1,78;12,925
"bilan";0,141;-0,401;0,377;-0,111
"baisser";-1,814;-1,978;16,954;-1,441
"aussitôt";-0,302;-2,375;-0,13;6,828
"assigner";-2,178;0,075;2,524;-0,111
"aspect";-2,178;1,398;-0,13;0,421
"apprécier";0,141;-2,375;-0,13;2,66
"ancien";-0,005;-1,582;6,196;-1,152
"alinéa";4,964;-2,375;-1,78;0,421
"ajustement";-0,302;0,075;2,524;-1,73
"agression";-1,814;12,708;-1,483;-1,441
"affectation";-2,178;-2,375;20,357;-1,73
"abandonner";-2,178;8,99;-0,13;-1,73
"éventuel";0,464;0,339;-0,023;-1,441
"élevé";-1,814;-1,978;16,954;-1,441
"égal";-1,814;-0,17;9,306;-1,441
"vrai";-1,814;2,485;-1,483;0,904
"voter";2,874;-0,17;-0,023;-1,441
"veto";7,34;-1,978;-1,483;-0,016
"veille";7,34;-1,978;-0,023;-1,441
"valeur";-0,111;-1,978;9,306;-1,441
"valable";2,874;-0,17;-1,483;-0,016
"unifier";-0,111;6,608;-1,483;-1,441
"transférer";7,34;-1,978;-0,023;-1,441
"traditionnel";-0,111;0,339;0,84;-1,441
"totalité";-1,45;-0,021;6,196;-1,152
"territorial";13,862;-1,978;-1,483;-1,441
"tenue";-0,111;0,339;-1,483;0,904
"temporaire";-1,814;0,339;0,84;-0,016
"tarder";13,862;-1,978;-1,483;-1,441
"séance";-1,814;-1,978;-0,023;9,62
"strictement";-1,814;-0,17;-1,483;9,62
"soutien";-0,111;-1,978;3,934;-0,016
"sncf";-1,814;-1,978;16,954;-1,441
"simultanément";-1,814;-0,17;9,306;-1,441
"signer";-0,111;-1,978;-1,483;9,62
"signataire";13,862;-1,978;-1,483;-1,441
"shape";0,464;2,485;-1,483;-1,441
"second";2,874;-1,978;0,84;-1,441
"saxon";-1,814;-1,978;-1,483;17,449
"réussir";-0,111;0,339;-1,483;0,904
"répéter";-1,814;-1,978;-0,023;9,62
"réaction";-0,111;-1,978;-0,023;4,105
"remplacer";2,874;-0,17;-0,023;-1,441
"remise";0,464;-0,17;-0,023;-0,016
"refuser";-1,814;0,339;0,84;-0,016
"recours";11,084;-1,582;-1,186;-1,152
"recherche";-0,111;0,339;0,84;-1,441
"qualité";-0,111;-1,978;-0,023;4,105
"prêter";-1,814;-0,17;3,934;-0,016
"précision";-0,111;0,339;-1,483;0,904
"provisoire";7,34;-1,978;-1,483;-0,016
"protéger";-1,814;-1,978;16,954;-1,441
"protocole";13,862;-1,978;-1,483;-1,441
"profond";-1,814;12,708;-1,483;-1,441
"professeur";-1,814;-1,978;-1,483;17,449
"procurer";-1,814;-1,978;16,954;-1,441
"plein";-0,111;-0,17;3,934;-1,441
"perte";-0,111;0,339;-0,023;-0,016
"personnalité";7,34;-0,17;-1,483;-1,441
"parole";-1,45;0,931;-1,186;1,771
"pareil";-0,111;-0,17;-0,023;0,904
"paiement";-1,814;-1,978;16,954;-1,441
"origine";-0,111;6,608;-1,483;-1,441
"occupation";0,464;0,339;-1,483;-0,016
"néerlandais";2,874;-1,978;-0,023;-0,016
"norme";-1,45;-0,021;6,196;-1,152
"nord";2,874;0,339;-1,483;-1,441
"nomination";2,874;-1,978;-1,483;0,904
"mutuel";-1,814;6,608;-0,023;-1,441
"moderne";-1,814;-1,978;16,954;-1,441
"ministère";-1,45;-1,582;13,556;-1,152
"mine";-0,005;-0,021;1,681;-1,152
"mercredi";-0,111;-1,978;-1,483;9,62
"mars";13,862;-1,978;-1,483;-1,441
"marcher";-0,111;-1,978;3,934;-0,016
"lumière";-1,814;0,339;0,84;-0,016
"louvel";0,071;-1,186;0,188;0,21
"local";-1,814;-1,978;9,306;-0,016
"livrer";-0,111;0,339;0,84;-1,441
"joindre";2,874;0,339;-1,483;-1,441
"jeudi";-1,814;-1,978;-1,483;17,449
"intérimaire";-0,111;-1,978;-0,023;4,105
"intéressé";-1,814;-1,978;3,934;0,904
"inscrire";-0,111;-1,978;3,934;-0,016
"impression";-1,814;0,339;-0,023;0,904
"historique";-1,814;12,708;-1,483;-1,441
"garder";-1,814;0,339;0,84;-0,016
"fédération";-1,814;6,608;-0,023;-1,441
"futur";0,464;0,339;-0,023;-1,441
"froid";-1,45;4,311;0,011;-1,152
"franco_allemand";13,862;-1,978;-1,483;-1,441
"frais";-1,814;-0,17;9,306;-1,441
"fonder";-1,814;6,608;-0,023;-1,441
"faculté";0,464;-1,978;0,84;-0,016
"fabrication";-0,111;-1,978;0,84;0,904
"extrêmement";0,464;2,485;-1,483;-1,441
"exercice";7,34;-1,978;-0,023;-1,441
"exemplaire";-1,45;-1,582;-1,186;13,951
"exclusivement";7,34;-1,978;-0,023;-1,441
"exception";0,464;-1,978;3,934;-1,441
"détriment";-0,111;0,339;0,84;-1,441
"délicat";0,464;0,339;-1,483;-0,016
"dégager";-0,111;2,485;-0,023;-1,441
"définition";-0,005;0,931;-1,186;0,017
"défendre";0,464;2,485;-1,483;-1,441
"défaut";-0,111;-0,17;3,934;-1,441
"durée";-0,111;-0,17;0,84;-0,016
"durable";-0,111;2,485;-1,483;-0,016
"douter";-1,814;2,485;-1,483;0,904
"double";-1,814;-0,17;0,84;0,904
"disponible";-1,814;-1,978;9,306;-0,016
"discriminatoires";-1,814;-1,978;16,954;-1,441
"degré";-1,814;6,608;-0,023;-1,441
"critique";-0,111;2,485;-1,483;-0,016
"considérable";-0,111;2,485;-0,023;-1,441
"conseiller";-1,814;-1,978;-0,023;9,62
"conception";0,464;-0,17;-0,023;-0,016
"compétent";-1,814;-1,978;-0,023;9,62
"composition";13,862;-1,978;-1,483;-1,441
"complémentaire";-0,111;-0,17;-0,023;0,904
"clappier";-1,814;-1,978;-1,483;17,449
"clair";2,874;-0,17;-0,023;-1,441
"bénéficier";-1,814;-0,17;9,306;-1,441
"autoriser";-0,111;-1,978;0,84;0,904
"au_delà";-0,111;0,339;0,84;-1,441
"attribution";2,874;-1,978;0,84;-1,441
"attlee";-1,814;-0,17;-1,483;9,62
"argent";-1,087;-1,186;10,161;-0,864
"appuyer";-0,111;6,608;-1,483;-1,441
"approfondi";-1,814;0,339;-1,483;4,105
"apparait";0,464;0,339;-1,483;-0,016
"apercevoir";0,464;0,339;-1,483;-0,016
"améliorer";-0,111;-0,17;3,934;-1,441
"ambassadeur";-1,814;-1,978;-1,483;17,449
"ambassade";-1,814;-1,978;-1,483;17,449
"agriculture";-1,814;-1,978;9,306;-0,016
"administratif";-0,111;-0,17;3,934;-1,441
"ad_hoc";-0,111;0,339;-1,483;0,904
"accorder";-1,814;-1,978;0,84;4,105
"abaisser";-1,814;-1,978;16,954;-1,441
"élu";4,822;-1,582;-1,186;0,017
"éclaircissement";-1,45;-1,582;-1,186;13,951
"échéant";1,129;-1,582;0,011;0,017
"échelle";-0,005;-1,582;6,196;-1,152
"vraisemblablement";4,822;-0,021;-1,186;-1,152
"vital";-0,005;0,931;0,011;-1,152
"vert";4,822;-1,582;-1,186;0,017
"vendredi";-1,45;-1,582;-1,186;13,951
"vaste";1,129;-0,021;0,011;-1,152
"urgence";-0,005;-1,582;6,196;-1,152
"unanime";11,084;-1,582;-1,186;-1,152
"téléphone";-1,45;-0,021;-1,186;6,416
"trait";4,822;-0,021;-1,186;-1,152
"toucher";4,822;-0,021;-1,186;-1,152
"tendance";-1,45;0,931;1,681;-1,152
"tableau";-0,005;0,931;0,011;-1,152
"syndicat";1,129;-1,582;-1,186;1,771
"surgir";11,084;-1,582;-1,186;-1,152
"supporter";-1,45;-0,021;1,681;0,017
"suffisamment";-0,005;-1,582;0,011;1,771
"subvention";-1,45;-1,582;13,556;-1,152
"structure";2,478;0,038;-0,889;-0,864
"stable";-1,45;-1,582;13,556;-1,152
"spécialement";-1,45;-1,582;13,556;-1,152
"spierenburg";-0,005;-1,582;-1,186;6,416
"spaak";1,129;-1,582;-1,186;1,771
"souvenir";-1,45;-0,021;-1,186;6,416
"souhaitable";-0,005;-0,021;0,011;0,017
"sommaire";-1,45;-1,582;-1,186;13,951
"solidarité";-1,45;10,161;-1,186;-1,152
"soin";-0,005;-0,021;0,011;0,017
"sir";-1,45;-0,021;-1,186;6,416
"signaler";1,129;-1,582;-1,186;1,771
"sidérurgies";-1,45;-1,582;13,556;-1,152
"section";11,084;-1,582;-1,186;-1,152
"satisfaction";-0,005;-0,021;1,681;-1,152
"samedi";-1,45;-1,582;-1,186;13,951
"sain";-1,45;-1,582;13,556;-1,152
"résultera";-0,005;0,931;0,011;-1,152
"résoudre";-1,45;4,311;0,011;-1,152
"région";1,129;-0,021;0,011;-1,152
"rédiger";-1,45;-1,582;-1,186;13,951
"réciproque";-0,005;4,311;-1,186;-1,152
"réaffirmation";-1,45;10,161;-1,186;-1,152
"royaume";-0,005;0,931;-1,186;0,017
"retourner";-1,45;-0,021;0,011;1,771
"retour";-1,45;-0,021;0,011;1,771
"retarder";1,129;-0,021;0,011;-1,152
"ressort";-1,45;0,931;0,011;0,017
"respecter";11,084;-1,582;-1,186;-1,152
"renforcement";1,129;-0,021;0,011;-1,152
"refléter";-1,45;-1,582;-1,186;13,951
"recette";-0,005;-1,582;6,196;-1,152
"ramener";-1,45;4,311;-1,186;0,017
"quart";-1,45;-1,582;13,556;-1,152
"publiquement";-0,005;0,931;0,011;-1,152
"psychologique";-0,005;4,311;-1,186;-1,152
"présentement";1,129;-0,021;0,011;-1,152
"présentation";-1,45;-0,021;1,681;0,017
"préjuger";4,822;-0,021;-1,186;-1,152
"préférer";-1,45;-0,021;-1,186;6,416
"prouver";-1,087;0,038;0,188;0,21
"prospérité";-1,45;10,161;-1,186;-1,152
"propos";-1,45;-1,582;0,011;6,416
"progressif";-1,45;4,311;0,011;-1,152
"productif";-1,45;-1,582;13,556;-1,152
"prochainement";-1,45;-0,021;-1,186;6,416
"preuve";-0,005;-0,021;1,681;-1,152
"pousser";-0,005;-1,582;6,196;-1,152
"placement";-1,45;-1,582;13,556;-1,152
"peser";-1,45;4,311;0,011;-1,152
"personnellement";1,129;-1,582;-1,186;1,771
"pelou";-0,005;-1,582;-1,186;6,416
"pain";-1,45;-1,582;-1,186;13,951
"ouverture";1,129;-0,021;0,011;-1,152
"outillage";-1,45;-1,582;13,556;-1,152
"oublier";-0,005;0,931;0,011;-1,152
"orage";-1,087;7,616;-0,889;-0,864
"opportunité";-0,005;-0,021;0,011;0,017
"opportun";1,129;-0,021;0,011;-1,152
"occuper";-0,005;4,311;-1,186;-1,152
"observer";-1,45;-0,021;-1,186;6,416
"obliger";-1,45;-0,021;-1,186;6,416
"négocier";-1,45;-1,582;0,011;6,416
"négatif";-1,45;10,161;-1,186;-1,152
"nouvel";0,071;-1,186;0,188;0,21
"nord_africains";11,084;-1,582;-1,186;-1,152
"nettement";-1,45;0,931;0,011;0,017
"naturel";1,129;-1,582;1,681;-1,152
"métropolitain";1,129;-0,021;0,011;-1,152
"mécanisme";-1,45;-1,582;13,556;-1,152
"mr";-1,087;-1,186;-0,889;10,458
"mollet";-1,45;-1,582;-1,186;13,951
"modalité";-0,005;-1,582;0,011;1,771
"ministériel";1,129;-1,582;-1,186;1,771
"maurice";-1,45;-1,582;-1,186;13,951
"manifester";-0,005;0,931;0,011;-1,152
"malentendu";1,129;-0,021;-1,186;0,017
"légitime";-1,45;-1,582;13,556;-1,152
"librement";-1,45;4,311;0,011;-1,152
"lever";4,822;-1,582;0,011;-1,152
"leader";-1,45;10,161;-1,186;-1,152
"jeu";-1,45;-1,582;6,196;0,017
"iv";1,129;-1,582;0,011;0,017
"issue";-1,45;0,931;-1,186;1,771
"infrastructure";-1,45;-0,021;6,196;-1,152
